area,enclosing_circle_center_x,enclosing_circle_center_y,enclosing_circle_diameter,h1,h2,h3,h4,h5,h6,h7
1693.0,199,137,58,0.1763394757742017,0.0032729191783693965,0.0002542564702234019,3.40218295252856e-05,2.137891075716174e-09,1.622624159768845e-06,2.332804931548976e-09,
3.0,129,127,304,2110.648148148149,4453567.545953357,30074314135.01503,30070539643.832813,9.042941031839344e+20,63459293797939.35,166404207755264.0,
